source_id,source_name,access,unit,level,event_types,event_names,year_from,year_to,share,basis,evidence
live_tennis_api_archive,Live Tennis API 2013-2022 reconstructed archive,paid: $49 one-month access window or $399/year; History plans $29-299/month,point,Challenger main draw,,,2013,2022,0.553,"provider claim, pooled 2013-2022 share of played matches with a tape, measured by the provider 2026-09-01",https://livetennisapi.com/historical-tennis-data-api
live_tennis_api_archive,Live Tennis API 2013-2022 reconstructed archive,paid: $49 one-month access window or $399/year; History plans $29-299/month,point,Challenger qualifying,,,2013,2022,0.336,"provider claim, pooled 2013-2022",https://livetennisapi.com/historical-tennis-data-api
live_tennis_api_archive,Live Tennis API 2013-2022 reconstructed archive,paid: $49 one-month access window or $399/year; History plans $29-299/month,point,Tour main draw,250;500,,2013,2022,0.954,"provider claim, ATP 250/500 main draws",https://livetennisapi.com/historical-tennis-data-api
live_tennis_api_archive,Live Tennis API 2013-2022 reconstructed archive,paid: $49 one-month access window or $399/year; History plans $29-299/month,point,Tour main draw,1000,,2013,2022,0.987,"provider claim, Masters main draws",https://livetennisapi.com/historical-tennis-data-api
live_tennis_api_archive,Live Tennis API 2013-2022 reconstructed archive,paid: $49 one-month access window or $399/year; History plans $29-299/month,point,Tour main draw,GS,,2013,2022,0.980,"provider claim, Grand Slam main draws",https://livetennisapi.com/historical-tennis-data-api
live_tennis_api_archive,Live Tennis API 2013-2022 reconstructed archive,paid: $49 one-month access window or $399/year; History plans $29-299/month,point,Tour qualifying,GS,,2013,2022,0.160,"provider claim, Grand Slam qualifying; other ATP qualifying not stated",https://livetennisapi.com/historical-tennis-data-api
sportradar,Sportradar Tennis API v3 (official ATP/Challenger via TDI),enterprise quote; 30-day evaluation-only trial,point,Challenger main draw,,,2024,2026,1,provider claim: Tier 2 'Point-by-point from round 1'; seasons served from a rolling window of the current season and two adjacent editions (2024-2026 is an inference),https://developer.sportradar.com/tennis/docs/tennis-ig-data-coverage-tiers
sportradar,Sportradar Tennis API v3 (official ATP/Challenger via TDI),enterprise quote; 30-day evaluation-only trial,point,Tour main draw,,,2024,2026,1,"provider claim, as above",https://developer.sportradar.com/tennis/docs/tennis-ig-historical-data
sportradar,Sportradar Tennis API v3 (official ATP/Challenger via TDI),enterprise quote; 30-day evaluation-only trial,point,Challenger qualifying,,,2024,2026,,share not stated: 'Qualification rounds often have lower coverage than the main draw' (upper bound),https://developer.sportradar.com/tennis/docs/tennis-ig-data-coverage-tiers
sportradar,Sportradar Tennis API v3 (official ATP/Challenger via TDI),enterprise quote; 30-day evaluation-only trial,point,Tour qualifying,,,2024,2026,,share not stated; 'usually consistent throughout major tournaments such as ATP events and Grand Slams' (upper bound),https://developer.sportradar.com/tennis/docs/tennis-ig-data-coverage-tiers
tdi_tennis_results,TDI 'Tennis Results' site (official ATP/Challenger results),free website; blocks automated reading; terms unknown,point,Challenger main draw,,,2025,2026,,provider claim seen only in search summaries: detailed results on every point of all ATP Tour and Challenger matches; site launch 2025 (unverified); share not stated (upper bound),https://results.tennisdata.com/en
tdi_tennis_results,TDI 'Tennis Results' site (official ATP/Challenger results),free website; blocks automated reading; terms unknown,point,Challenger qualifying,,,2025,2026,,as above; a qualifying match page (QS009) appears in search results,https://results.tennisdata.com/en
tdi_tennis_results,TDI 'Tennis Results' site (official ATP/Challenger results),free website; blocks automated reading; terms unknown,point,Tour main draw,250;500;1000,,2025,2026,,as above; Grand Slams are not ATP events,https://results.tennisdata.com/en
tdi_tennis_results,TDI 'Tennis Results' site (official ATP/Challenger results),free website; blocks automated reading; terms unknown,point,Tour qualifying,250;500;1000,,2025,2026,,as above,https://results.tennisdata.com/en
infront_itf,Infront Bettor / LSports (official ITF data from 2025),licensed sportsbooks only; no archive product stated,point,ITF main draw,,,2025,2026,,"rights holder: umpire 'Level 1' scoring at M15 and M25 main draws (and M25 last qualifying round) from 2025; live feed, no historical access stated (upper bound)",https://www.itftennis.com/media/13885/wtt-data-streaming.pdf
enetpulse,Enetpulse point-by-point history,sales only ('exclusive product'); test period,point,Tour main draw,,,2020,2026,,provider claim: 'we keep the pbp history since 2020 year'; live point-by-point 'on most ATP and WTA tour-level matches'; Challenger and ITF not stated (upper bound),https://eclient.enetpulse.com/docs/xml-data/what-enetpulse-provides-for-tennis-events
stats_perform,Stats Perform / Opta tennis archive,enterprise; standard licence bars ML training and archive building,point,Tour main draw,,,2021,2026,,provider claim: tennis archive 'from 2021'; point feed level 2 is 'Point by Point ... (ATP)'; men's tiers not stated (mapped to tour main draws only; upper bound),https://developers.statsperform.com/historical-sports-data-for-pricing-models
api_tennis,api-tennis.com / allsportsapi.com,$40-120/month; 14-day trial,point,,,,,,,provider documentation: pointbypoint array in fixtures; one finished 2022 ITF M25 example; historical depth and tier coverage not stated (not mapped),https://api-tennis.com/documentation
goalserve,Goalserve tennis,$150/month; 30-day trial,point,,,,,,,provider claim: 'detailed point by point tennis match history' for ATP/WTA/Challenger/ITF; depth and archive access not stated (not mapped),https://www.goalserve.com/en/sport-data-feeds/tennis-api/description/14
sofascore_resellers,RapidAPI resellers of SofaScore (TennisApi; AllSportsApi; SofaSport),$0-99/month,point,,,,,,,same records as SofaScore ('Data sourced from sofascore public endpoints'); not mapped separately,https://rapidapi.com/fluis.lacasse/api/allsportsapi2
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour qualifying,GS,US Open,2022,2022,0.38,"observed: share of US Open men's qualifying matches whose draw-feed statsLevel is 'H' (2022); sampled 'H' matches carry every point with serve speed, placement, distance run and clock times (rally count from 2025)",https://www.usopen.org/en_US/scores/feeds/2022/draws/MQ.json
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour qualifying,GS,US Open,2023,2023,0.37,"observed: share of US Open men's qualifying matches whose draw-feed statsLevel is 'H' (2023); sampled 'H' matches carry every point with serve speed, placement, distance run and clock times (rally count from 2025)",https://www.usopen.org/en_US/scores/feeds/2023/draws/MQ.json
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour qualifying,GS,US Open,2024,2024,0.37,"observed: share of US Open men's qualifying matches whose draw-feed statsLevel is 'H' (2024); sampled 'H' matches carry every point with serve speed, placement, distance run and clock times (rally count from 2025)",https://www.usopen.org/en_US/scores/feeds/2024/draws/MQ.json
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour qualifying,GS,US Open,2025,2025,0.60,"observed: share of US Open men's qualifying matches whose draw-feed statsLevel is 'H' (2025); sampled 'H' matches carry every point with serve speed, placement, distance run and clock times (rally count from 2025)",https://www.usopen.org/en_US/scores/feeds/2025/draws/MQ.json
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour qualifying,GS,US Open,2026,2026,0.99,"observed: share of US Open men's qualifying matches whose draw-feed statsLevel is 'H' (2026); sampled 'H' matches carry every point with serve speed, placement, distance run and clock times (rally count from 2025)",https://www.usopen.org/en_US/scores/feeds/2026/draws/MQ.json
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour main draw,GS,US Open,2025,2026,0.99,observed: 126 of 127 (2025) and 127 of 127 (2026) main-draw matches at 'H',https://www.usopen.org/en_US/scores/feeds/2026/draws/MS.json
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour qualifying,GS,Wimbledon,2025,2026,1,"observed: every 2025 and 2026 qualifying match read at 'H' (112 of 112 in 2026); sampled matches carry every point with serve speed, rally count and distance run; 2024 not reachable",https://www.wimbledon.com/en_GB/scores/feeds/2026/draws/QS.json
slam_feeds,Grand Slam scoring feeds,"public JSON, current edition only; website terms not retrieved",point,Tour qualifying,GS,Australian Open,2026,2026,1,observed: 2026 qualifying match centre has a timed commentary line for every point and serve speeds; 2025 returns 'No Results' (current edition only),https://prod-scores-api.ausopen.com/year/2026/period/Q/day/1/results
slam_feeds,Grand Slam scoring feeds,public JSON; website terms not retrieved,point,Tour main draw,GS,Wimbledon,2025,2026,1,"observed: every 2025 and 2026 qualifying match read at 'H' (112 of 112 in 2026); sampled matches carry every point with serve speed, rally count and distance run; 2024 not reachable",https://www.wimbledon.com/en_GB/scores/feeds/2026/draws/QS.json
slam_feeds,Grand Slam scoring feeds,"public JSON, current edition only; website terms not retrieved",point,Tour main draw,GS,Australian Open,2026,2026,1,observed: 2026 qualifying match centre has a timed commentary line for every point and serve speeds; 2025 returns 'No Results' (current edition only),https://prod-scores-api.ausopen.com/year/2026/period/Q/day/1/results
atp_tracking,ATP Tour ball and player tracking (Live ELC; TDI licence),licence through TDI/Sportradar only; atptour.com views blocked and reportedly encrypted,shot,Tour main draw,250;500;1000,,2025,2026,,"provider claim: Live ELC mandatory on all ATP Tour courts from 2025, giving 'comprehensive player and ball tracking across the whole Tour' (upper bound)",https://www.atptour.com/en/news/electronic-line-calling-release-april-2023
atp_tracking,ATP Tour ball and player tracking (Live ELC; TDI licence),licence through TDI/Sportradar only; atptour.com views blocked and reportedly encrypted,shot,Tour qualifying,250;500;1000,,2025,2026,,ATP Rulebook 2026: the Live ELC system 'must be available from the first day of qualifying' on all match courts (upper bound),https://www.atptour.com/-/media/files/rulebook/2026/2026-rulebook_19dec25.pdf
